time (sec),theta (rad)
40.52539643,0.005149923
40.55877814,0.005504424
40.59215985,0.005504424
40.62554156,0.004795256
40.65892327,0.003730259
40.69230498,0.002129978
40.72568669,0.000347993
40.7590684,-0.002153618
40.79245011,-0.004124709
40.82583182,-0.006280495
40.85921353,-0.008081331
40.89259525,-0.009344249
40.92597696,-0.009705433
40.95935867,-0.009705433
40.99274038,-0.008802764
41.02612209,-0.007540668
41.0595038,-0.005920801
41.09288551,-0.004304139
41.12626722,-0.002690707
41.15964893,-0.001438063
41.19303064,-0.000365943
41.22641235,0.000704717
41.25979406,0.001773908
41.29317577,0.002307952
41.32655748,0.002663775
41.35993919,0.002663775
41.3933209,0.002307952
41.42670261,0.001773908
41.46008432,0.001239496
41.49346603,0.00016957
41.52684774,-0.000723154
41.56022945,-0.001616891
41.59361116,-0.002332607
41.62699287,-0.003048967
41.66037458,-0.003586658
41.6937563,-0.003945319
